REGION,TOKENS,SAT,SITTING,STANDING,STOOD
AB,14856367,162,756,164,28
AL,8062621,138,237,58,22
B,47624767,1605,1144,411,252
BA,11418614,497,146,56,87
BB,14821400,940,87,75,160
BD,11624243,716,97,49,106
BH,12836368,592,143,77,84
BL,11970249,758,87,54,127
BN,22893663,497,612,206,52
BR,7341593,91,267,72,12
BS,27773686,1418,316,181,205
BT,36388458,238,1525,445,36
CA,7775759,360,146,39,46
CB,14395217,267,327,125,39
CF,43005029,1409,602,238,164
CH,18077904,738,410,112,81
CM,19262284,329,656,159,41
CO,11710007,198,361,100,29
CR,9432691,118,311,114,15
CT,13223998,358,312,70,40
CV,21210563,919,399,156,102
CW,8162788,453,93,42,66
DA,10106756,140,395,111,16
DD,10346979,146,683,133,12
DE,18349183,891,238,116,125
DG,4577814,58,143,39,7
DH,6813315,370,192,51,49
DL,9165331,699,120,43,96
DN,17623575,1105,113,65,180
DT,4000035,209,43,20,15
DY,7375380,303,131,44,34
E,28039113,424,679,245,90
EC,8838855,143,253,108,28
EH,38251982,398,2215,476,57
EN,9703069,135,366,74,16
EX,13291023,586,149,75,75
FK,9188839,88,565,116,12
FY,10117927,890,64,38,120
G,42647806,394,2351,573,70
GL,18714172,993,160,115,132
GU,15632343,519,312,107,56
GY,1607813,40,24,15,5
HA,8829598,186,284,91,22
HD,8836102,535,72,26,94
HG,3207641,193,30,24,35
HP,10236128,428,236,83,52
HR,2788366,123,30,13,15
HS,545741,6,27,5,0
HU,11091708,762,77,45,141
HX,4770384,344,42,22,53
IG,6159134,69,220,67,14
IM,1865981,97,22,5,10
IP,14071681,250,425,103,35
IV,10802657,176,470,99,27
JE,1547018,35,38,13,3
KA,14656620,109,1150,167,17
KT,16785676,323,427,160,48
KW,1227693,10,44,10,1
KY,13762872,137,968,186,10
L,33849445,1392,798,245,195
LA,12878329,646,105,70,93
LD,1040375,46,10,4,7
LE,28437321,974,503,188,132
LL,12533617,410,187,75,54
LN,6903759,434,99,39,56
LS,29093127,1841,294,158,293
LU,7259794,166,220,58,20
M,55300299,3367,558,320,670
ME,12336251,247,404,104,26
MK,13374165,377,311,98,41
ML,8904859,87,656,101,4
N,24948193,375,649,220,71
NE,39030571,1552,1190,360,219
NG,27239025,1543,403,153,207
NN,17355241,553,456,148,61
NP,13900317,679,133,64,109
NR,19816840,406,634,152,56
NW,16680821,309,434,182,77
OL,12060388,827,65,60,137
OX,15112319,660,203,85,98
PA,10503149,83,657,136,8
PE,21072815,869,395,112,103
PH,4762182,59,225,51,3
PL,13388035,760,163,95,86
PO,22217066,1223,404,146,134
PR,16799821,1062,142,75,133
RG,18267490,843,269,147,101
RH,12833430,291,467,110,31
RM,15089110,146,566,143,24
S,39966569,2787,333,187,460
SA,19388949,443,516,133,45
SE,48731780,595,1031,413,114
SG,10111382,184,365,86,17
SK,16137367,1061,131,71,162
SL,7699069,266,185,54,38
SM,4645468,76,192,57,3
SN,10563424,571,108,37,87
SO,20020537,1128,255,110,143
SP,4073034,202,46,18,16
SR,7202748,291,294,84,46
SS,13611860,151,582,143,22
ST,18173267,490,307,112,58
SW,35933414,537,737,320,110
SY,7984850,284,130,56,32
TA,6400854,316,67,52,25
TD,2630342,32,104,25,3
TF,4075260,201,64,19,20
TN,12026228,237,302,102,25
TQ,4593182,219,33,29,20
TR,6830337,317,96,52,29
TS,13309861,1157,104,67,155
TW,13596504,373,455,122,48
UB,7420639,126,233,54,13
W,39161374,663,863,359,121
WA,18086881,1093,149,109,154
WC,6581124,167,213,82,43
WD,6743206,166,232,60,24
WF,11710134,844,79,50,141
WN,7098104,484,56,25,88
WR,8306007,500,79,41,60
WS,7721899,210,197,57,31
WV,9564115,225,207,80,43
YO,16702122,1043,195,77,150
ZE,999365,4,16,3,0
