Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Activity description	Selected characterisations of conversation type	Transcription conventions used	Sample release inclusion	List of speaker IDs	Number of speakers	Recording date	Recording length	Recording location	Recording period	Year of recording	Inter-speaker relationship	Topics covered	Transcriber	URL	Match-begin corpus position	Match-end corpus position
1	S23A	anyway would they ? I hope not that would be quite weird if they were I hope not they 'd	be standing	at the side with a towel waiting but I du n no --UNCLEARWORD like neither of us really like getting	anyway_RR would_VM they_PPHS2 ?_YQUE I_PPIS1 hope_VV0 not_XX that_DD1 would_VM be_VBI quite_RG weird_JJ if_CS they_PPHS2 were_VBDR I_PPIS1 hope_VV0 not_XX they_PPHS2 'd_VM	be_VBI standing_VVG	at_II the_AT side_NN1 with_IW a_AT1 towel_NN1 waiting_VVG but_CCB I_PPIS1 du_VD0 n_XX no_VVI --UNCLEARWORD_FU like_RR neither_DD1 of_IO us_PPIO2 really_RR like_RR getting_VVG	Catching up with family over food and presents	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0021 S0032 S0094 S0095	4	2014-12-27	1:50:43	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	Computer programming, food, wine, temperature, saunas, opening presents	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=0	4625	4626
2	S23A	really so and then mm kinda I could be so mean in that situation so I could move you could	be sitting	there and just chuckling every now --UNCLEARWORD make them really paranoid yeah at u- one of the obstacle races that	really_RR so_RR and_CC then_RT mm_UH kinda_RR I_PPIS1 could_VM be_VBI so_RG mean_JJ in_II that_DD1 situation_NN1 so_RR I_PPIS1 could_VM move_VVI you_PPY could_VM	be_VBI sitting_VVG	there_RL and_CC just_RR chuckling_VVG every_AT1 now_RT --UNCLEARWORD_FU make_VV0 them_PPHO2 really_RR paranoid_JJ yeah_UH at_II u-_FU one_MC1 of_IO the_AT obstacle_NN1 races_NN2 that_CST	Catching up with family over food and presents	Discussing, explaining, anecdote telling	Revised	Texts not in Sample release	S0021 S0032 S0094 S0095	4	2014-12-27	1:50:43	Speakers' home	2014 Q4	2014	Close family, partners, very close friends	Computer programming, food, wine, temperature, saunas, opening presents	T15	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=1	5410	5411
3	S26N	we ? yeah we did we did we had a lovely time yeah and when we come back the budgie	's sitting	on eggs yeah she 's on on on the day is n't she ? yeah we got a thrushes nest	we_PPIS2 ?_YQUE yeah_UH we_PPIS2 did_VDD we_PPIS2 did_VDD we_PPIS2 had_VHD a_AT1 lovely_JJ time_NNT1 yeah_UH and_CC when_CS we_PPIS2 come_VV0 back_RP the_AT budgie_NN1	's_VBZ sitting_VVG	on_II eggs_NN2 yeah_UH she_PPHS1 's_VBZ on_II on_II on_II the_AT day_NNT1 is_VBZ n't_XX she_PPHS1 ?_YQUE yeah_UH we_PPIS2 got_VVD a_AT1 thrushes_NN2 nest_VV0	Back from Cornwall	Discussing, Explaining, Announcing	Revised	Texts not in Sample release	S0012 S0013 S0152	3	2015-05-12	1:48:08	Speaker's home	2015 Q2	2015	Close family, partners, very close friends	School, YHA volunteering in Cornwall, travelling, lighthouse, relationships, photos, cycle race, Yorkshire in a day, crabs	T09	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=2	59713	59714
4	S27D	I mean two weeks sounds like quite a long time to me yeah yeah I mean I 'd hate to	be sitting	around for two weeks if I 'd just been diagnosed with that waiting for another test well wait what else	I_PPIS1 mean_VV0 two_MC weeks_NNT2 sounds_NN2 like_II quite_RG a_AT1 long_JJ time_NNT1 to_II me_PPIO1 yeah_UH yeah_UH I_PPIS1 mean_VV0 I_PPIS1 'd_VM hate_VVI to_TO	be_VBI sitting_VVG	around_RP for_IF two_MC weeks_NNT2 if_CS I_PPIS1 'd_VHD just_RR been_VBN diagnosed_VVN with_IW that_DD1 waiting_NN1 for_IF another_DD1 test_NN1 well_RR wait_VV0 what_DDQ else_RR	Husband and wife discuss some issues over a drink.	Discussing, explaining, complaining	Original	Texts within Sample release	S0024 S0144	2	2012-03-06	0:32:10	The Swan pub, Norfolk	2012 Q1	2012	Close family, partners, very close friends	Health, politics, finance, TV	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=3	66671	66672
5	S2C9	have stood it was it was good you could actually see and then they did an encore okay and we	're stood	in the middle of the crowd that 's cool that was literally the coolest so we and we 'd loved	have_VHI stood_VVN it_PPH1 was_VBDZ it_PPH1 was_VBDZ good_JJ you_PPY could_VM actually_RR see_VVI and_CC then_RT they_PPHS2 did_VDD an_AT1 encore_NN1 okay_RR and_CC we_PPIS2	're_VBR stood_VVN	in_II the_AT middle_NN1 of_IO the_AT crowd_NN1 that_DD1 's_VBZ cool_JJ that_DD1 was_VBDZ literally_RR the_AT coolest_JJT so_RR we_PPIS2 and_CC we_PPIS2 'd_VHD loved_VVN	Friends catching up	Discussing, explaining, inquiring, complaining, advising, anecdote telling, making arrangements	Revised	Texts not in Sample release	S0336 S0362	2	2015-02-24	2:12:08	Speaker's home	2015 Q1	2015	Friends, wider family circle	Friends, family, work, holidays, festivals, houses	T10	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=4	139407	139408
6	S2FQ	in a place where now we talked about a variety of different things but being in a place where we	are sitting	in the market where people who would who would or have gone to university are going to fall out of	in_II a_AT1 place_NN1 where_RRQ now_RT we_PPIS2 talked_VVD about_II a_AT1 variety_NN1 of_IO different_JJ things_NN2 but_CCB being_VBG in_II a_AT1 place_NN1 where_RRQ we_PPIS2	are_VBR sitting_VVG	in_II the_AT market_NN1 where_RRQ people_NN who_PNQS would_VM who_PNQS would_VM or_CC have_VH0 gone_VVN to_II university_NN1 are_VBR going_VVGK to_TO fall_VVI out_II21 of_II22	A couple discussing their ideas for innovative education strategies for university studies. 	Discussing, explaining, inquiring, advising, requesting, anecdote telling, making arrangements	Revised	Texts within Sample release	S0261 S0262	2	2014-09-05	0:37:35	House-sitting in Australia	2014 Q3	2014	Close family, partners, very close friends	social story-telling, problem-solving techniques, start-up companies, viral videos, entrepreneurs. 	T19	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=5	198417	198418
7	S2KP	on what what the hell 's that ? two o'clock in the morning the DVD 's still playing --UNCLEARWORD mother	's sitting	up there like that with her mouth wide open that was alright then taking that --UNCLEARWORD mm oh she 's	on_II what_DDQ what_DDQ the_AT hell_NN1 's_VBZ that_DD1 ?_YQUE two_MC o'clock_RA in_II the_AT morning_NNT1 the_AT DVD_NP1 's_VBZ still_RR playing_VVG --UNCLEARWORD_FU mother_NN1	's_VBZ sitting_VVG	up_RP there_RL like_II that_DD1 with_IW her_APPGE mouth_NN1 wide_RR open_JJ that_DD1 was_VBDZ alright_JJ then_RT taking_VVG that_DD1 --UNCLEARWORD_FU mm_UH oh_UH she_PPHS1 's_VBZ	Afternoon tea with family and saying goodbye	Discussing, explaining, inquiring, complaining, anecdote telling	Revised	Texts not in Sample release	S0192 S0198 S0229 S0230	4	2014-10-02	0:45:49	In mine and ANON's flat, Sussex	2014 Q4	2014	Close family, partners, very close friends	Braking laptops, types of drinking water, DIY, walking around Brighton, weather, family relationships and friends, flat sharing, bin strikes, setting up a blackberry phone, alcohol drinking, didgeridoo, describing colours, contact lenses, neighbours, falling asleep with the tv on, finding glasses, water companies, dinner, voice recognition software, family visiting, SAT NAV, saying goodbye. 	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=6	250089	250090
8	S2KP	sitting up there like that with her mouth wide open that was alright then taking that --UNCLEARWORD mm oh she	's sitting	up like that with her mouth open fast asleep with her glasses hanging down yeah I wish I 'd 've	sitting_VVG up_RP there_RL like_II that_DD1 with_IW her_APPGE mouth_NN1 wide_RR open_JJ that_DD1 was_VBDZ alright_JJ then_RT taking_VVG that_DD1 --UNCLEARWORD_FU mm_UH oh_UH she_PPHS1	's_VBZ sitting_VVG	up_RP like_II that_DD1 with_IW her_APPGE mouth_NN1 open_VV0 fast_RR asleep_JJ with_IW her_APPGE glasses_NN2 hanging_VVG down_RP yeah_UH I_PPIS1 wish_VV0 I_PPIS1 'd_VM 've_VHI	Afternoon tea with family and saying goodbye	Discussing, explaining, inquiring, complaining, anecdote telling	Revised	Texts not in Sample release	S0192 S0198 S0229 S0230	4	2014-10-02	0:45:49	In mine and ANON's flat, Sussex	2014 Q4	2014	Close family, partners, very close friends	Braking laptops, types of drinking water, DIY, walking around Brighton, weather, family relationships and friends, flat sharing, bin strikes, setting up a blackberry phone, alcohol drinking, didgeridoo, describing colours, contact lenses, neighbours, falling asleep with the tv on, finding glasses, water companies, dinner, voice recognition software, family visiting, SAT NAV, saying goodbye. 	T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=7	250110	250111
9	S2PS	was n't born until like seventies but mm she did n't sort of take it if I if I 'd	been sat	there and said it to her mm mm yeah it would 've come across differently yeah er I sent her	was_VBDZ n't_XX born_VVN until_CS like_II seventies_MC2 but_CCB mm_UH she_PPHS1 did_VDD n't_XX sort_RR21 of_RR22 take_VV0 it_PPH1 if_CS I_PPIS1 if_CS I_PPIS1 'd_VHD	been_VBN sat_VVN	there_RL and_CC said_VVD it_PPH1 to_II her_PPHO1 mm_UH mm_UH yeah_UH it_PPH1 would_VM 've_VHI come_VVN across_II differently_RR yeah_UH er_UH I_PPIS1 sent_VVD her_PPHO1	Librarians talking about social networking	Discussing, telling jokes	Original	Texts within Sample release	S0068 S0075 S0150	3	2012-03-23	0:20:52	A room in the University, Salford	2012 Q1	2012	Colleagues	Social networking	T11	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=8	284804	284805
10	S2PY	all be sort of like dry blood on them and stuff that 's it yeah yeah yeah mm why I	was sitting	in the back I do n't know mm but they were just sort of like there 's probably a couple	all_DB be_VBI sort_RR21 of_RR22 like_RR dry_JJ blood_NN1 on_II them_PPHO2 and_CC stuff_NN1 that_DD1 's_VBZ it_PPH1 yeah_UH yeah_UH yeah_UH mm_UH why_RRQ I_PPIS1	was_VBDZ sitting_VVG	in_II the_AT back_NN1 I_PPIS1 do_VD0 n't_XX know_VVI mm_UH but_CCB they_PPHS2 were_VBDR just_RR sort_RR21 of_RR22 like_RR there_EX 's_VBZ probably_RR a_AT1 couple_NN1	Chatting over a cup of tea	Discussing	Revised	Texts not in Sample release	S0008 S0012 S0013	3	2015-01-20	0:53:20	Speakers' home	2015 Q1	2015	Close family, partners, very close friends		T02	https://cqpweb.lancs.ac.uk/bnc2014spoken/context.php?qid=0062o6&batch=9	287398	287399
