Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Country	Source file	Title	Type of text	Source URL	Word count	URL	Matchbegin corpus position	Matchend corpus position
1	3289023	: @ @ @ @ @ @ @ @ @ @ McIntyre had no point , they would be have	<<< been sat >>>	down decisively by the great data and cogent analysis the climate community has performed . This has n't happened .	:_: @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii McIntyre_np1 had_vhd no_at point_nn1 ,_, they_pphs2 would_vm be_vbi have_vh0	<<< been_vbn sat_vvn@ >>>	down_rp decisively_rr by_ii the_at great_jj data_nn and_cc cogent_jj analysis_nn1 the_at climate_nn1 community_nn1 has_vhz performed_vvn ._. This_dd1 has_vhz n't_xx happened_vvn ._.	Australia	wlp_au_b01.txt	Inherit the Wind Farm - Mann made global hilarity at Catallaxy Files	Blog	http://catallaxyfiles.com/2012/10/24/inherit-the-wind-farm-coming-to-a-courtroom-in-the-us/	2630	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=0	2413149	2413150
2	3295719	skis ! But then again , if I had skis I would not be writing this , and you would	<<< be sat >>>	at home wondering if I was still alive hehehe . &lt;p&gt;  My hands are rough as hell from all the	skis_nn2 !_! But_ccb then_rt again_rt ,_, if_cs I_ppis1 had_vhd skis_nn2 I_ppis1 would_vm not_xx be_vbi writing_vvg this_dd1 ,_, and_cc you_ppy would_vm	<<< be_vbi sat_vvn@ >>>	at_ii home_nn1 wondering_vvg if_cs_csw@ I_ppis1 was_vbdz still_rr alive_jj hehehe_nn1 ._. &lt;p&gt; _null My_appge hands_nn2 are_vbr rough_jj as_csa_ii@ hell_nn1 from_ii all_db the_at	Australia	wlp_au_b01.txt	Alive and well! - France - WorldNomads.com	Blog	http://journals.worldnomads.com/hannah_white/story/52769/France/Alive-and-well!	1507	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=1	4940010	4940011
3	3295836	reached a local restaurant where we had the blandest chicken and rice dinner since we 'd been away . We	<<< were sat >>>	with other people from the tour , a couple from Canada who I mistakenly thought were from the states ,	reached_vvd a_at1 local_jj restaurant_nn1 where_cs_rrq we_ppis2 had_vhd the_at blandest_jjt chicken_nn1 and_cc rice_nn1 dinner_nn1 since_cs we_ppis2 'd_vhd been_vbn away_rl ._. We_ppis2	<<< were_vbdr sat_vvn@ >>>	with_iw other_jj people_nn from_ii the_at tour_nn1 ,_, a_at1 couple_nn1 from_ii Canada_np1 who_pnqs I_ppis1 mistakenly_rr thought_vvn_vvd were_vbdr from_ii the_at states_nn2 ,_,	Australia	wlp_au_b01.txt	Day 60 - Vietnam - WorldNomads.com	Blog	http://journals.worldnomads.com/nicolala3/story/92160/Vietnam/Day-60	1869	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=2	5061528	5061529
4	3297726	@ @ @ @ @ @ @ @ @ I guess some of these arrangements are perfect for when you	<<< 're sat >>>	opposite a guest who chews with their mouth open . Mind you , every time I 've tried to bring	@_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii I_ppis1 guess_vv0 some_dd of_io these_dd2 arrangements_nn2 are_vbr perfect_jj for_if when_rrq_cs you_ppy	<<< 're_vbr sat_vvn@ >>>	opposite_ii%_rl@ a_at1 guest_nn1 who_pnqs chews_vvz with_iw their_appge mouth_nn1 open_vv0_jj_rr@ ._. Mind_vv0 you_ppy ,_, every_at1 time_nnt1 I_ppis1 've_vh0 tried_vvn to_to bring_vvi	Australia	wlp_au_b01.txt	In the last year or so (especially) - Lucy Violet Vintage	Blog	http://lucyvioletvintage.blogspot.com/2012/10/in-last-year-or-so-especially-ive-began.html	803	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=3	5956692	5956693
5	3301636	2012 &lt;p&gt;  Meet Andy Cochran . &lt;p&gt;  There was always a couple of things to look at when a man	<<< was sat >>>	against or stood by the warm metal of the shed doors at South Bondi . Like the waves , the	2012_mc &lt;p&gt; _null Meet_vv0 Andy_np1 Cochran_np1_nn1 ._. &lt;p&gt; _null There_ex was_vbdz always_rr a_at1 couple_nn1 of_io things_nn2 to_to look_vvi at_ii when_rrq a_at1 man_nn1	<<< was_vbdz sat_vvn@ >>>	against_ii or_cc stood_vvd by_ii the_at warm_jj metal_nn1 of_io the_at shed_nn1_jj@ doors_nn2 at_ii South_nd1 Bondi_np1 ._. Like_ii the_at waves_nn2 ,_, the_at	Australia	wlp_au_b01.txt	bondi 1958. andy cochran | petebowes.com	Blog	http://petebowes.com/2012/10/18/bondi-1958-andy-cochran/	259	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=4	7494963	7494964
6	3309233	your mum still does your washing and ironing . Oh and definitely do n't tell your date that your parents	<<< are sat >>>	outside in the car waiting for you . Please do n't do that . You 'll either come across as	your_appge mum_nn1 still_rr does_vdz your_appge washing_nn1 and_cc ironing_nn1_vvg ._. Oh_uh and_cc definitely_rr do_vd0 n't_xx tell_vvi your_appge date_nn1 that_cst your_appge parents_nn2	<<< are_vbr sat_vvn@ >>>	outside_rl in_ii the_at car_nn1 waiting_vvg_nn1@ for_if you_ppy ._. Please_rr do_vd0 n't_xx do_vdi that_dd1 ._. You_ppy 'll_vm either_rr come_vvi across_rl@ as_ii_csa	Australia	wlp_au_b01.txt	First Date? What Not To Say ........ Ever	Blog	http://www.1300flowers.com.au/flowers/first-date-what-not-to-say/	1129	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=5	10750729	10750730
7	3313402	PRO and in alignment with you and your business . Registration opens on Friday ... &lt;p&gt;  We all know somethings	<<< being sat >>>	in front of the screen for too long can zap our creativity and get us frustrated . So here 's	PRO_jj_nn1 and_cc in_ii alignment_nn1 with_iw you_ppy and_cc your_appge business_nn1 ._. Registration_nn1 opens_vvz on_ii Friday_npd1 ..._... &lt;p&gt; _null We_ppis2 all_db know_vv0 somethings_nn2	<<< being_vbg sat_vvn@ >>>	in_ii31 front_ii32 of_ii33 the_at screen_nn1 for_if too_rg long_rr_jj can_vm zap_vvi our_appge creativity_nn1 and_cc get_vvi us_ppio2 frustrated_vvd_vvn_jj ._. So_rr here_rl 's_vbz	Australia	wlp_au_b01.txt	Buttercup Ink : BRANDING + GRAPHIC DESIGN � How to get more	Blog	http://www.buttercupink.com/business-life/how-to-get-more-work-done-make-more-money-and-get-more-sleep/	953	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=6	12279700	12279701
8	3313403	PRO and in alignment with you and your business . Registration opens on Friday ... &lt;p&gt;  We all know somethings	<<< being sat >>>	in front of the screen for too long can zap our creativity and get us frustrated . So here 's	PRO_jj_nn1 and_cc in_ii alignment_nn1 with_iw you_ppy and_cc your_appge business_nn1 ._. Registration_nn1 opens_vvz on_ii Friday_npd1 ..._... &lt;p&gt; _null We_ppis2 all_db know_vv0 somethings_nn2	<<< being_vbg sat_vvn@ >>>	in_ii31 front_ii32 of_ii33 the_at screen_nn1 for_if too_rg long_rr_jj can_vm zap_vvi our_appge creativity_nn1 and_cc get_vvi us_ppio2 frustrated_vvd_vvn_jj ._. So_rr here_rl 's_vbz	Australia	wlp_au_b01.txt	Excuse my messiness while I get a makeover - Buttercup Ink	Blog	http://www.buttercupink.com/business/excuse-my-messiness-while-i-get-a-makeover/	291	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=7	12280020	12280021
9	3315731	the story behind the item you are sitting on . A chair is just a piece of furniture meant to	<<< be sat >>>	on . With lounges , on the other hand , especially chaise lounges , you are given so much more	the_at story_nn1 behind_ii the_at item_nn1 you_ppy are_vbr sitting_vvg on_rp@ ._. A_at1 chair_nn1 is_vbz just_rr a_at1 piece_nn1 of_io furniture_nn1 meant_vvd_vvn to_to	<<< be_vbi sat_vvn@ >>>	on_rp@_ii ._. With_iw lounges_nn2 ,_, on_ii the_at other_jj hand_nn1 ,_, especially_rr chaise_vv0 lounges_nn2 ,_, you_ppy are_vbr given_vvn so_rg much_da1 more_dar	Australia	wlp_au_b01.txt	The History of Lounges | Demir Leather	Blog	http://www.demirleather.com.au/index.php/the-history-of-lounges/	396	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=8	13089764	13089765
10	3322527	will finish school this week with a Year 12 leavers certificate -- and that 's what he needs . He	<<< 's sat >>>	the SAT for College in the US -- above average scores there so he 's not a dunce . My	will_vm finish_vvi school_nn1 this_dd1 week_nnt1 with_iw a_at1 Year_nnt1 12_mc leavers_nn2 certificate_nn1 --_zz and_cc that_dd1 's_vbz what_ddq he_pphs1 needs_vvz ._. He_pphs1	<<< 's_vbz_vhz@ sat_vvn@ >>>	the_at SAT_vvn@_vvd for_if College_nn1 in_ii the_at US_np1 --_zz above_ii average_jj_nn1 scores_nn2 there_rl so_cs@_rr he_pphs1 's_vbz not_xx a_at1 dunce_nn1 ._. My_appge	Australia	wlp_au_b01.txt	Dear Year 12: Your high school grades won't matter. - Mamamia	Blog	http://www.mamamia.com.au/health-wellbeing/to-the-graduating-class-of-2012/	9096	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukvjw2hwnl&batch=9	15658763	15658764
