Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	Country	Source file	Title	Type of text	Source URL	Word count	URL	Matchbegin corpus position	Matchend corpus position
1	3284817	of Cab-Charge and allegations of Sexual misconduct against a male staffer in his office . Neither of these people have	<<< been stood >>>	down from Parliament , they both are sitting as Independents voting for the Government . &lt;p&gt;  She has been pushing	of_io Cab-Charge_np1 and_cc allegations_nn2 of_io Sexual_jj misconduct_nn1 against_ii a_at1 male_jj_nn1 staffer_nn1 in_ii his_appge office_nn1 ._. Neither_dd1 of_io these_dd2 people_nn have_vh0	<<< been_vbn stood_vvn@ >>>	down_rp from_ii Parliament_nn1 ,_, they_pphs2 both_db2 are_vbr sitting_vvg as_csa_ii@ Independents_nn2 voting_vvg_nn1 for_if the_at Government_nn1 ._. &lt;p&gt; _null She_pphs1 has_vhz been_vbn pushing_vvg	Australia	wlp_au_b01.txt	It's Time to Wipe out the Red Tide | Australian TEA Party	Blog	http://austeaparty.com.au/web/its-time-to-wipe-out-the-red-tide/	976	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=0	899571	899572
2	3288409	@ @ @ again it proves that politicians and political systems ca n't be trusted ... &lt;p&gt;  the minister that	<<< is stood >>>	down for moral failings -- another reason for people to never trust the church ... &lt;p&gt;  the CEO that did	@_ii @_ii @_ii again_rt it_pph1 proves_vvz that_cst politicians_nn2 and_cc political_jj systems_nn2 ca_vm n't_xx be_vbi trusted_vvn ..._... &lt;p&gt; _null the_at minister_nn1 that_cst_dd1	<<< is_vbz stood_vvn@ >>>	down_rp for_if moral_jj failings_nn2 --_zz another_dd1 reason_nn1 for_if people_nn to_to never_rr trust_vvi the_at church_nn1 ..._... &lt;p&gt; _null the_at CEO_nn1 that_cst_dd1 did_vdd	Australia	wlp_au_b01.txt	My big little secret | BK's blog...	Blog	http://brentonkilleen.com/2012/11/04/my-big-little-secret/	1360	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=1	2146526	2146527
3	3291003	get to see @ @ @ @ @ @ @ @ @ @ Masters category and at one point they	<<< were stood >>>	side by side -- many snappies taken of that ! &lt;p&gt;  And ironically enough in answering a message on my	get_vvi to_to see_vvi @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii Masters_nn2 category_nn1 and_cc at_ii one_mc1 point_nn1 they_pphs2	<<< were_vbdr stood_vvn@ >>>	side_nn1 by_ii side_nn1 --_zz many_da2 snappies_nn2 taken_vvn of_io that_dd1 !_! &lt;p&gt; _null And_cc ironically_rr enough_rr in_ii answering_vvg a_at1 message_nn1 on_ii my_appge	Australia	wlp_au_b01.txt	ANB Victorian Titles | Diary of a Figure Competitor (aged 42 1/4)	Blog	http://diaryofarookiefigurechamp.wordpress.com/2012/10/03/anb-victorian-titles/	3258	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=2	3114468	3114469
4	3293828	have been carrying on with my band . &lt;p&gt;   I believe in rock n ' roll and what it	<<< 's stood >>>	for , and I carry that on with what I do ... You do n't see it in a lot	have_vhi been_vbn carrying_vvg on_rp with_iw my_appge band_nn1 ._. &lt;p&gt; _null  I_ppis1 believe_vv0 in_ii_rp@ rock_nn1 n_zz1 '_ge roll_nn1 and_cc what_ddq it_pph1	<<< 's_vbz stood_vvn@ >>>	for_if ,_, and_cc I_ppis1 carry_vv0 that_dd1 on_rp@ with_iw what_ddq I_ppis1 do_vd0 ..._... You_ppy do_vd0 n't_xx see_vvi it_pph1 in_ii_rp@ a_at1 lot_nn1	Australia	wlp_au_b01.txt	Wednesday 13 is set to bring horror back to Australia next week	Blog	http://gumbomag.net/2012/10/16/wednesday-13-is-set-to-bring-horror-back-to-australia-next-week/	757	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=3	4205640	4205641
5	3297102	right up to the end in a bid to expel Li'l Fatty , once the baby had appeared Learner Dad	<<< was stood >>>	down . Having had a C-section , for six weeks it was a question of ... well ... it was	right_nn1_rr up_ii21 to_ii22 the_at end_nn1 in_ii a_at1 bid_nn1 to_to expel_vvi Li'l_np1_nn1 Fatty_np1_nn1 ,_, once_cs@_rr the_at baby_nn1 had_vhd appeared_vvn Learner_nn1 Dad_nn1	<<< was_vbdz stood_vvn@ >>>	down_rp ._. Having_vhg had_vhn a_at1 C-section_nn1_jj ,_, for_if six_mc weeks_nnt2 it_pph1 was_vbdz a_at1 question_nn1 of_io ..._... well_rr ..._... it_pph1 was_vbdz	Australia	wlp_au_b01.txt	OMG, IUD gone AWOL | LI'L FATTY	Blog	http://lilfatty.com/2012/09/24/omg-iud-gone-awol/	665	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=4	5595166	5595167
6	3304523	who had physically assulted me to forced to apologise to me individually in front of the whole school . They	<<< were stood >>>	up on the stage , and I was walked along in front of them , for them to individually apologise	who_pnqs had_vhd physically_rr assulted_vvn me_ppio1 to_ii forced_vvn to_to apologise_vvi to_ii me_ppio1 individually_rr in_ii31 front_ii32 of_ii33 the_at whole_jj school_nn1 ._. They_pphs2	<<< were_vbdr stood_vvn@ >>>	up_rp on_ii the_at stage_nn1 ,_, and_cc I_ppis1 was_vbdz walked_vvn@ along_rp in_ii31 front_ii32 of_ii33 them_ppho2 ,_, for_if them_ppho2 to_to individually_rr apologise_vvi	Australia	wlp_au_b01.txt	Patrick McGorry's 'Ultra High Risk of Psychosis' training DVD fails	Blog	http://speedupsitstill.com/patrick-mcgorrys-ultra-high-risk-psychosis-theory-fails-common-sense-test	8780	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=5	8601663	8601664
7	3311814	say , rules are rules . &lt;p&gt;  There were frantic , even frenzied cries this week that Oliver should have	<<< been stood >>>	down from riding in the Melbourne Cup . Really ! @ @ @ @ @ @ @ @ @ @	say_vv0 ,_, rules_nn2 are_vbr rules_nn2 ._. &lt;p&gt; _null There_ex were_vbdr frantic_jj ,_, even_rr frenzied_vvd_jj@_vvn@ cries_nn2_vvz this_dd1 week_nnt1 that_cst Oliver_np1 should_vm have_vhi	<<< been_vbn stood_vvn@ >>>	down_rp from_ii riding_vvg in_ii the_at Melbourne_np1 Cup_nn1 ._. Really_rr !_! @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii @_ii	Australia	wlp_au_b01.txt	Innocent until proven guilty - even in racing	Blog	http://www.backpagelead.com.au/horse-racing/7916-innocent-until-proven-guilty-even-in-racing	637	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=6	11560392	11560393
8	3311814	jockeys were introduced at Flemington on Tuesday and Oliver was regaled with the loudest cheer ? &lt;p&gt;  If every jockey	<<< was stood >>>	down on the basis of an allegation there would be at some stage a lamentable lack of suitable riders .	jockeys_nn2 were_vbdr introduced_vvn at_ii Flemington_np1 on_ii Tuesday_npd1 and_cc Oliver_np1 was_vbdz regaled_vvn with_iw the_at loudest_jjt_rrt cheer_nn1_vv0 ?_? &lt;p&gt; _null If_cs every_at1 jockey_nn1	<<< was_vbdz stood_vvn@ >>>	down_rp on_ii the_at basis_nn1 of_io an_at1 allegation_nn1 there_ex_rl would_vm be_vbi at_ii some_dd stage_nn1 a_at1 lamentable_jj lack_nn1 of_io suitable_jj riders_nn2 ._.	Australia	wlp_au_b01.txt	Innocent until proven guilty - even in racing	Blog	http://www.backpagelead.com.au/horse-racing/7916-innocent-until-proven-guilty-even-in-racing	637	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=7	11560510	11560511
9	3317325	. &lt;p&gt;  And first aid was obviously needed for simple and non-battle injuries when men were injured handling weapons ,	<<< were stood >>>	on by horses or simply burnt themselves on the camp fire while cooking . War has a unique way to	._. &lt;p&gt; _null And_cc first_md aid_nn1 was_vbdz obviously_rr needed_vvn_vvd for_if simple_jj and_cc non-battle_jj_nn1 injuries_nn2 when_rrq_cs men_nn2 were_vbdr injured_jj_vvn handling_nn1_vvg weapons_nn2 ,_,	<<< were_vbdr stood_vvn@ >>>	on_rp@ by_ii horses_nn2 or_cc simply_rr burnt_vvn themselves_ppx2 on_ii the_at camp_nn1 fire_nn1 while_cs cooking_vvg_nn1 ._. War_nn1 has_vhz a_at1 unique_jj way_nn1 to_to	Australia	wlp_au_b01.txt	First aid in the Middle Ages	Blog	http://www.firstaidcoursebrisbane.net.au/first-aid-in-the-middle-ages/	621	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=8	13613392	13613393
10	3320314	pretty busy summer for you , things like Movement , Sonar and a whole bunch of other things . What	<<< 's stood >>>	out as a highlight ? Oh I mean , every weekend is a highlight you know ? They are all	pretty_rg_jj busy_jj summer_nnt1 for_if you_ppy ,_, things_nn2 like_ii Movement_nn1 ,_, Sonar_nn1 and_cc a_at1 whole_jj bunch_nn1 of_io other_jj things_nn2 ._. What_ddq	<<< 's_vbz_vhz@ stood_vvn@ >>>	out_rp as_ii a_at1 highlight_nn1 ?_? Oh_uh I_ppis1 mean_vv0 ,_, every_at1 weekend_nnt1 is_vbz a_at1 highlight_nn1_vv0 you_ppy know_vv0 ?_? They_pphs2 are_vbr all_db_rr@	Australia	wlp_au_b01.txt	Loco Dice: Hip-hop, vinyl and Desolat	Blog	http://www.inthemix.com.au/features/53725/Loco_Dice_Hiphop_vinyl_and_Desolat	810	https://cqpweb.bham.ac.uk/glowbe/context.php?qname=gukwa1p7hew&batch=9	14692686	14692687
